2019/10/25 09:50:59:069,1571964659069,52
2019/10/25 09:50:59:071,1571964659071,52
2019/10/25 09:50:59:073,1571964659073,52
2019/10/25 09:50:59:074,1571964659074,52
2019/10/25 09:50:59:090,1571964659090,52
2019/10/25 09:50:59:091,1571964659091,52
2019/10/25 09:50:59:092,1571964659092,52
2019/10/25 09:50:59:093,1571964659093,52
2019/10/25 09:50:59:095,1571964659095,52
2019/10/25 09:50:59:096,1571964659096,52
2019/10/25 09:50:59:096,1571964659096,52
2019/10/25 09:50:59:096,1571964659096,52
2019/10/25 09:50:59:096,1571964659096,52
2019/10/25 09:50:59:096,1571964659096,52
2019/10/25 09:50:59:097,1571964659097,52
2019/10/25 09:50:59:098,1571964659098,52
2019/10/25 09:50:59:101,1571964659101,52
2019/10/25 09:50:59:103,1571964659103,52
2019/10/25 09:50:59:105,1571964659105,52
2019/10/25 09:50:59:108,1571964659108,52
2019/10/25 09:50:59:110,1571964659110,52
2019/10/25 09:50:59:111,1571964659111,52
2019/10/25 09:50:59:112,1571964659112,52
2019/10/25 09:50:59:114,1571964659114,52
2019/10/25 09:50:59:116,1571964659116,52
2019/10/25 09:50:59:118,1571964659118,52
2019/10/25 09:50:59:120,1571964659120,52
2019/10/25 09:50:59:122,1571964659122,52
2019/10/25 09:50:59:123,1571964659123,52
2019/10/25 09:50:59:126,1571964659126,52
2019/10/25 09:50:59:128,1571964659128,52
2019/10/25 09:50:59:129,1571964659129,52
2019/10/25 09:50:59:132,1571964659132,52
2019/10/25 09:50:59:133,1571964659133,52
2019/10/25 09:50:59:136,1571964659136,52
2019/10/25 09:50:59:137,1571964659137,52
2019/10/25 09:50:59:140,1571964659140,52
2019/10/25 09:50:59:142,1571964659142,52
2019/10/25 09:50:59:143,1571964659143,52
2019/10/25 09:50:59:146,1571964659146,52
2019/10/25 09:50:59:147,1571964659147,52
2019/10/25 09:50:59:150,1571964659150,52
2019/10/25 09:50:59:151,1571964659151,52
2019/10/25 09:50:59:153,1571964659153,52
2019/10/25 09:50:59:155,1571964659155,52
2019/10/25 09:50:59:157,1571964659157,52
2019/10/25 09:50:59:160,1571964659160,52
2019/10/25 09:50:59:161,1571964659161,52
2019/10/25 09:50:59:163,1571964659163,52
2019/10/25 09:50:59:165,1571964659165,52
2019/10/25 09:50:59:167,1571964659167,52
2019/10/25 09:50:59:169,1571964659169,52
2019/10/25 09:50:59:171,1571964659171,52
2019/10/25 09:50:59:172,1571964659172,52
2019/10/25 09:50:59:176,1571964659176,52
2019/10/25 09:50:59:178,1571964659178,52
2019/10/25 09:50:59:180,1571964659180,52
2019/10/25 09:50:59:181,1571964659181,52
2019/10/25 09:50:59:183,1571964659183,52
2019/10/25 09:50:59:185,1571964659185,52
2019/10/25 09:50:59:186,1571964659186,52
2019/10/25 09:50:59:188,1571964659188,52
2019/10/25 09:50:59:191,1571964659191,52
2019/10/25 09:50:59:192,1571964659192,52
2019/10/25 09:50:59:195,1571964659195,52
2019/10/25 09:50:59:196,1571964659196,52
2019/10/25 09:50:59:198,1571964659198,52
2019/10/25 09:50:59:200,1571964659200,52
2019/10/25 09:50:59:202,1571964659202,52
2019/10/25 09:50:59:204,1571964659204,52
2019/10/25 09:50:59:206,1571964659206,52
2019/10/25 09:50:59:208,1571964659208,52
2019/10/25 09:50:59:210,1571964659210,52
2019/10/25 09:50:59:212,1571964659212,52
2019/10/25 09:50:59:214,1571964659214,52
2019/10/25 09:50:59:216,1571964659216,52
2019/10/25 09:50:59:217,1571964659217,52
2019/10/25 09:50:59:220,1571964659220,52
2019/10/25 09:50:59:222,1571964659222,52
