1569707468369,1,0
1569707470476,1,1
1569707471277,2,0
1569707473335,2,1
1569707474136,2,0
1569707476191,2,1
1569707476992,1,0
1569707479047,1,1
1569707479848,2,0
1569707481904,2,1
1569707482706,2,0
1569707484761,2,1
1569707485562,2,0
1569707487617,2,1
1569707488418,1,0
1569707490474,1,1
1569707491275,2,0
1569707493330,2,1
1569707494132,1,0
1569707496188,1,1
1569707496989,1,0
1569707499043,1,1
1569707499844,1,0
1569707501899,1,1
1569707502700,1,0
1569707504756,1,1
1569707505556,2,0
1569707507610,2,1
1569707508411,2,0
1569707510467,2,1
1569707511268,2,0
1569707513328,2,1
1569707514129,2,0
1569707516183,2,1
1569707516985,2,0
1569707519037,2,1
1569707519837,2,0
1569707521894,2,1
1569707522695,2,0
1569707524751,2,1
1569707525552,2,0
1569707527604,2,1
1569707528405,1,0
1569707530461,1,1
1569707531262,2,0
1569707533320,2,1
1569707534121,2,0
1569707536175,2,1
1569707536977,2,0
1569707539033,2,1
1569707539833,2,0
1569707541886,2,1
1569707542688,2,0
1569707544745,2,1
1569707545546,2,0
1569707547602,2,1
1569707548404,2,0
1569707550459,2,1
1569707551260,2,0
1569707553318,2,1
1569707554119,2,0
1569707556172,2,1
1569707556974,2,0
1569707559028,2,1
1569707559829,2,0
1569707561883,2,1
1569707562684,1,0
1569707564741,1,1
1569707565542,2,0
1569707567596,2,1
1569707568398,1,0
1569707570453,1,1
1569707571254,2,0
1569707573318,2,1
1569707574119,2,0
1569707576174,2,1
1569707576976,2,0
1569707579029,2,1
1569707579831,2,0
1569707581886,2,1
1569707582687,2,0
1569707584745,2,1
1569707585546,2,0
1569707587602,2,1
1569707588403,2,0
1569707590458,2,1
1569707591260,2,0
1569707593319,2,1
1569707594120,1,0
1569707596175,1,1
1569707596976,2,0
1569707599035,2,1
1569707599836,2,0
1569707601891,2,1
1569707602692,1,0
1569707604747,1,1
1569707605548,2,0
1569707607601,2,1
1569707608402,2,0
1569707610456,2,1
1569707611257,2,0
1569707613316,2,1
1569707614117,2,0
1569707616173,2,1
1569707616974,2,0
1569707619034,2,1
1569707619835,2,0
1569707621892,2,1
1569707622693,2,0
1569707624748,2,1
1569707625549,2,0
1569707627603,2,1
1569707628404,2,0
1569707630459,2,1
1569707631260,2,0
1569707633321,2,1
1569707634122,2,0
1569707636177,2,1
1569707636978,2,0
1569707639045,2,1
1569707639846,2,0
1569707641901,2,1
1569707642702,2,0
1569707644763,2,1
1569707645564,2,0
1569707647618,2,1
1569707648419,2,0
1569707650472,2,1
1569707651273,2,0
1569707653332,2,1
1569707654133,1,0
1569707656188,1,1
1569707656990,2,0
1569707659049,2,1
1569707659850,1,0
1569707661904,1,1
1569707662705,2,0
1569707664760,2,1
1569707665561,2,0
1569707667617,2,1
1569707668419,1,0
1569707670474,1,1
1569707671275,2,0
1569707673336,2,1
1569707674136,2,0
1569707676190,2,1
1569707676991,2,0
1569707679052,2,1
1569707679853,2,0
1569707681910,2,1
1569707682711,1,0
1569707684765,1,1
1569707685566,2,0
1569707687622,2,1
1569707688423,2,0
1569707690479,2,1
1569707691280,2,0
1569707693334,2,1
1569707694136,2,0
1569707696191,2,1
1569707696992,1,0
1569707699051,1,1
1569707699852,2,0
1569707701908,2,1
1569707702709,2,0
1569707704766,2,1
1569707705567,2,0
1569707707621,2,1
1569707708422,2,0
1569707710474,2,1
1569707711276,2,0
1569707713334,2,1
1569707714135,2,0
1569707716190,2,1
1569707716991,2,0
1569707719050,2,1
1569707719852,2,0
1569707721907,2,1
1569707722708,2,0
1569707724765,2,1
1569707725566,2,0
1569707727622,2,1
1569707728423,1,0
1569707730479,1,1
1569707731280,2,0
1569707733336,2,1
1569707734137,2,0
1569707736193,2,1
1569707736993,1,0
1569707739053,1,1
1569707739854,2,0
1569707741911,2,1
1569707742712,1,0
1569707744769,1,1
1569707745570,1,0
1569707747624,1,1
1569707748426,2,0
1569707750480,2,1
1569707751281,2,0
1569707753339,2,1
1569707754140,2,0
1569707756197,2,1
1569707756998,2,0
1569707759056,2,1
1569707759857,2,0
1569707761918,2,1
1569707762719,2,0
1569707764778,2,1
1569707765579,2,0
1569707767634,2,1
1569707768434,2,0
1569707770425,2,1
1569707771227,1,0
1569707773275,1,1
1569707774076,2,0
1569707776129,2,1
1569707776930,2,0
1569707777991,2,1
1569707778792,2,0
1569707780854,2,1
1569707781655,1,0
1569707783713,1,1
1569707784514,2,0
1569707786569,2,1
1569707787370,1,0
1569707789427,1,1
1569707790228,1,0
1569707792284,1,1
1569707793085,2,0
1569707795147,2,1
1569707795948,1,0
1569707798016,1,1
1569707798817,2,0
1569707800878,2,1
1569707801679,2,0
1569707803736,2,1
1569707804537,2,0
1569707806590,2,1
1569707807391,2,0
1569707809447,2,1
1569707810248,2,0
1569707812306,2,1
1569707813107,2,0
1569707815168,2,1
1569707815969,2,0
1569707818028,2,1
1569707818829,1,0
1569707820883,1,1
1569707821684,2,0
1569707823742,2,1
1569707824543,1,0
1569707826598,1,1
1569707827399,2,0
1569707829453,2,1
